Latitude,Longitude,County,id
34.21,-116.22,Soboba Indian Reservation,58
34.22,-115.52,Solano  ,59
34.14,-116.76,Sonoma  ,60
37.95,-121.29,Stanislaus  ,61
35.34,-120.69,Sutter  ,62
36.1,-119.21,Tehama  ,63
36.06,-118.99,Trinity  ,64
35.36,-118.98,Tulare  ,65
35.86,-119.46,Tule River Indian Reservation,66
33.46,-116.99,Tuolumne  ,67
37.95,-121.32,Ventura  ,68
36.52,-119.29,Yolo  ,69
36.32,-119.64,Yuba  ,70
36.06,-119.02,Yurok Indian Reservation,71
36.73,-119.78,Agua Caliente Indian Reservation,1
33.24,-115.51,Alameda  ,2
36.32,-119.7,Alpine  ,3
41.78,-121.62,Amador  ,4
35.36,-119,Butte  ,5
35.88,-119.27,Cahuilla Indian Reservation,6
36.74,-119.82,Calaveras  ,7
36.1,-119.56,Campo Indian Reservation,8
32.74,-116,Colusa  ,9
36,-120.14,Contra Costa  ,10
32.74,-114.66,Del Norte  ,11
41.78,-121.16,El Dorado  ,12
41.86,-121.93,Fresno  ,13
36.72,-119.79,Glenn  ,14
36.71,-119.76,Hoopa Valley Indian Reservation,15
33.49,-114.68,Hopland Rancheria (Indian Reservation),16
40.07,-122.14,Humboldt  ,17
36.76,-119.75,Imperial  ,18
35.4,-119.01,Inyo  ,19
36.21,-119.09,Karuk Reservation,20
34.83,-116.96,Kern  ,21
36.73,-119.8,Kings  ,22
36.75,-119.79,La Jolla Indian Reservation,23
32.76,-114.63,Lake  ,24
33.8,-117.9,Lassen  ,25
33.52,-114.57,Los Angeles  ,26
37.95,-121.3,Madera  ,27
37.94,-121.31,Marin  ,28
39.5,-121.55,Mariposa  ,29
36.71,-119.78,Mendocino  ,30
36.73,-119.76,Merced  ,31
36.75,-119.76,Modoc  ,32
36.13,-117.69,Mono  ,33
35.24,-118.91,Monterey  ,34
39.1,-121.56,Morongo Indian Reservation,35
35.35,-118.99,Napa  ,36
36.3,-119.2,Nevada  ,37
35.14,-119.46,Orange  ,38
41.43,-122.38,Placer  ,39
36.31,-119.61,Plumas  ,40
37.04,-120.35,Resighini Rancheria (Indian Reservation),41
36.1,-119.58,Riverside  ,42
36.75,-119.78,Rohnerville Rancheria (Indian Reservation),43
36.75,-119.79,Sacramento  ,44
33.12,-115.51,San Benito  ,45
35.37,-119.01,San Bernardino  ,46
35.36,-118.97,San Diego  ,47
35.34,-119.01,San Francisco  ,48
33.76,-118.08,San Joaquin  ,49
35.38,-118.97,San Luis Obispo  ,50
36.75,-119.77,San Mateo  ,51
35.39,-118.98,Santa Barbara  ,52
33.76,-118.08,Santa Clara  ,53
39.1,-121.55,Santa Cruz  ,54
35.37,-118.98,Shasta  ,55
36.97,-120.05,Sierra  ,56
36.06,-118.98,Siskiyou  ,57
36.74,-119.81,Soboba Indian Reservation,58
36.73,-119.79,Solano  ,59
36.79,-119.79,Sonoma  ,60
33.26,-115.8,Stanislaus  ,61
35.37,-119.01,Sutter  ,62
35.62,-119.69,Tehama  ,63
41.82,-120.48,Trinity  ,64
33.66,-116.17,Tulare  ,65
32.67,-117.11,Tule River Indian Reservation,66
37.4,-122.01,Tuolumne  ,67
35.97,-119.42,Ventura  ,68
40.26,-120.2,Yolo  ,69
35.87,-119.26,Yuba  ,70
36.72,-119.77,Yurok Indian Reservation,71
35.99,-119.96,Agua Caliente Indian Reservation,1
36.21,-119.09,Alameda  ,2
36.06,-119.01,Alpine  ,3
35.36,-118.99,Amador  ,4
34.22,-116.14,Butte  ,5
35.99,-119.31,Cahuilla Indian Reservation,6
41.61,-120.55,Calaveras  ,7
35.38,-118.97,Campo Indian Reservation,8
36.97,-120.07,Colusa  ,9
36.35,-119.42,Contra Costa  ,10
41.07,-121.11,Del Norte  ,11
34.83,-114.6,El Dorado  ,12
40.44,-122.29,Fresno  ,13
